,review_comment_message,review_score,sentimento
31720,"O produto é ótimo,e estou muito feliz,e ele chegou bem antes do prazo,parabéns.",5,positivo
31728,ÓTIMO ,5,positivo
31734,Não recebi o produto ,1,negativo
31735,shiow,5,positivo
31738,"Foi enviado um produto que não corresponde em absolutamente nada com oque comprei.
Com fortes indícios do engano ser proposital.
Nem mesmo em sites de televendas menos expressivos, ocorreu tal fato.",1,negativo
31741,O produto estava de acordo com o anúncio.,4,positivo
31742,Recomendo ,5,positivo
31744,NÃO recebi o produto.,1,negativo
31748,"o produto é falso, ridiculo!",1,negativo
31749,"não recomendo porque até o momento não recebi meu produto,nem tive nenhuma informação da empresa responsavél",1,negativo
31750,nao sei nao recebi,1,negativo
31753,Entreguei antes do prazo recomendo o produto.,5,positivo
31758,Ainda estou aguardando a terceira unidade. Só vieram duas unidades amarradas por um barbante em embalagens individuais. Eu acho que deveriam entregar todos os produtos em uma única entrega.,1,negativo
31767,Otimo,5,positivo
31772,"Carteira de ótima qualidade, só achei ela grande, mas fora isso, ela é linda e tem um designer legal!",4,positivo
31773,Entrega rápida ,5,positivo
31783,produto de má qualidade,2,negativo
31787,O tecido é grosso parece mais organza 1ue cetim....nao gostei o acabamento também é muito ruim.,1,negativo
31788,"Adorei,pena que as contas são muito miudas
",5,positivo
31791,"Comprei duas cadeiras, uma o assento ñ encaixa corretamente e a outra veio sem as borrachinhas para acabamento",1,negativo
31797,"O prazo de entrega não foi cumprida e só comprei para dar de presente para uma mãe que está prestes a ganhar bebê. Só comprei pelo site por conta da data de entrega 19/05, terá o parto sem a bolsa.",2,negativo
31808,Muito bom,5,positivo
31811,Produto dentro do que eu esperava.,5,positivo
31813,satisfeita com o atendimento,5,positivo
31817,"Comprei o produto no dia 19/01 após 30 dia eu ainda não recebi meu produto. Demora demais pra entregar, se tive comprado da china já estaria aqui.",1,negativo
31818,o controle remoto nao funciona e ai.recomendo a loja se resolver meu problema ou o controle e so enganaçao mesmo.,2,negativo
31823,"Produto chegou direitinho e antes, muuuito antes do prazo! Superou minhas expectativas!",5,positivo
31825,BOA,4,positivo
31826,"Muito bom, recebi vários dias antes do prazo determinado, tudo embalado em plástico bolha, muito seguro.",4,positivo
31827,confiável,5,positivo
31829,Cortinas de boa qualidade e com preço bom. Gostei ?,5,positivo
31830,Entrega atrasou um pouco mas pouca coisa. Produto dentro do esperado. Recomendado.,4,positivo
31831,muito boa,4,positivo
31832,Eu compraria denovo,5,positivo
31834,"Ao acompanhar o pedido pelo site, houve um erro nas informações, sendo que a entrega do celular constava dia 06/12, mas na realidade foi entregue depois, dia 08/12.",4,positivo
31835,Recebi um produto velho ,1,negativo
31839,Envio rápido.,5,positivo
31841,péssimo ,1,negativo
31844,Os correios atrasaram. ,5,positivo
31856,"Comprei o produto, passou mais de um mês não recebi. Com muitas tentativas via telefone, e-mail não tive retorno de protocolo de cancelamento e nenhuma posição. Deixou muito a desejar.",1,negativo
31857,"boa compra, agora só acompanhar os resultados",5,positivo
31859,Muito bom recomendo!,4,positivo
31861,parabens,5,positivo
31864,"Recebi no prazo 
E o produto é de Boa qualidade.",4,positivo
31865,Ate a data de hoje nao foi entregue pois fui ate uma das lojas de vcs pea pedir uma solução nem o atebtende sobre me responder fizeram pra mim eu de bobo eu confiei na lojas aguardo resposta,1,negativo
31866,"Preciso que entre em contato comigo, estou com dúvidas, sobre minhas compras.",1,negativo
31867,A,5,positivo
31877,"Comprei 2 kits de luminária e só foi entregue 1, mas a nota está cobrando os dois, mais a fita de led q foi para o correio muito longe da minha casa. ",1,negativo
31880,"o produto chegou perfeito, otima qualidade, so que é do menor! ",5,positivo
31883,"as correntes são boas, e o material também.
a corrente é grossa, servindo para masculino e feminino",5,positivo
31887,Entrega muito rápida e o produto veio muito bem embalado.,5,positivo
31895,O produto é exatamente igual a foto q ue eu vi no site,4,positivo
31897,Só tive um problema pois a mochila foi entregue com um lacre q ñ estou conseguindo remover. É aquele tipo de lacre q apita na saída de lojas.,4,positivo
31898,👍🏻,5,positivo
31900,"Entrega rápida, bom produto. Conforme anúncio",5,positivo
31901,"Recomendo este parceiro. Entregue bem embalado e antes do prazo previsto. Só estranhei não vir com um ""panfleto ou manual"" ilustrativo com especificações/descrições do produto.",4,positivo
31902,"Adoro comprar aqui.
Tenho o que necessito, em prazo mínimo. É de se ressaltar o zelo dos funcionários na embalagem dos produtos , e no trato com os clientes. Nota Mil !",5,positivo
31903,recebi tudo correto me surpreendeu a entrega muito rápida estou satisfeito com a loja.,5,positivo
31905,"Gostei muito da loja, entregou antes do prazo estipulado!!",5,positivo
31907,"O celular Nokia (que deveria ser novo) chegou sem lacre e sem a película de proteção na tela, o que indica já ter sido usado. Além disso, o produto não funciona, pois não reconhece nenhum chip.",1,negativo
31908,"Produto chegou antes do prazo, bem emabalado e tem ótima qualidade.",5,positivo
31911,"Não recebi a saida maternidade vermelha q comprei.Colocaram apenas na nota , mas recebi um outro qquer, com a cor horivel.Já liguei varias vezes e ninguem me atente .Acho q vou ter q ir no procon.",1,negativo
31912,Tudo ok,5,positivo
31919,Produto de péssima qualidade,1,negativo
31923,Muito antes do previsto! ,5,positivo
31924,"Poderiam mandar os produtos tudo junto num mesmo frete, assim economizaríamos na entrega, tirando isso, foram muito atenciosos e recomendo à todos!!",5,positivo
31926,"A versatilidade e a logística são componentes da equipe do baratheon.

 Muito bom.",5,positivo
31928,Chegou antes do prazo e em perfeito estado,5,positivo
31929,Entrega no prazo e o produto exatamente o que havia visualizado e comprado. Tudo cem por cento. Todas as caracteristicas divulgada do produto corresponderam. Muito bem embalado e fiquei 100% satisfeit,4,positivo
31932,O produto que recebi veio incorreto,2,negativo
31933,Produto com bom acabamento.,5,positivo
31937,"Ótimo produto, chegou antes da data prevista.",5,positivo
31941,Gosto de comprar com vocês,4,positivo
31944,"produto de qualidade,tive problema na entrega porem foi tudo resolvido em 24hs",5,positivo
31949,"Gostei muito o produto veio correto, chegou no prazo só poderia ter enviado para uma unidade dos correios mais perto.",4,positivo
31950,loja muito boa entrega tudo direitinho,4,positivo
31951,Rapidez na entrega produto de qualidade parabéns ,5,positivo
31961,Muito bom,4,positivo
31967,fui atendido satisfatorio,5,positivo
31969,Tudo certo e chegou rapidinho,5,positivo
31972,Foi feito tres pedidos dois chrgaram certo so um que não entregaram dentro do prazo e recomendo,4,positivo
31975,Chateado,1,negativo
31979,Muito satisfeita,5,positivo
31980,empresa confiável e ágil,5,positivo
31982,Valeu,5,positivo
31984,otimo recebi no prazo e veio exatamenti o que comprei ,5,positivo
31986,"Produto entregue antes do prazo e muito boa a qualidade, eu recomendo",4,positivo
31987,o tempo de entrega foi menor que o esperado!,4,positivo
31996,confiavel,5,positivo
32000,"ADOREI COMPRAR AI, COMPREI 3 PRODUTOS, UM CHEGOU, AGORA ESPERANDO OS OUTROS.",5,positivo
32003,"Só faltou um pouco mais de informação em relação ao produto (achei extremamente pequeno) 
",4,positivo
32006,"Dentro do esperado. Já realizei várias compras nas lannister, nunca tive problema.
",5,positivo
32007,Só tenho que agradecer. Obrigado!!!,5,positivo
32010,Ótimo produto,4,positivo
32013,"Chegou muito rápido , e um ótimo produto ! ",5,positivo
32015,Recebi tudo certo conforme o que solicitei ,5,positivo
32017,excelente produto e loja,5,positivo
32018,Fiz o pedido no dia 23.11 e até hoje dia 12.12.2017 o produto ainda não foi entregue. Muita demora!,1,negativo
32022,OTIMO,5,positivo
32029,Otima.e otima qualidade de compra e entrega,4,positivo
32030,Eu recomendo essa loja.?,5,positivo
32032,"Poder comprar e poder ter a certeza que vai chegar, não tem preço. Podem confiar!",5,positivo
32039,"Muito satisfeita, obrigado",5,positivo
32045,Gostei! Entrega rápida e produto exatamente como anunciado. Atendeu as minhas expectativas.,5,positivo
32048,ATÉ O PRESENTE MOMENTO NÃO RECEBI O PRODUTO.,1,negativo
32050,A loja lannister sempre atendeu as minhas expectativas no que diz respeito a qualidade do produto e prazo de entrega.,5,positivo
32052,10,5,positivo
32054,O produto atende as necessidades. Produto fácil de manuseio. ,5,positivo
32057,"O produto estava anunciado no site, mas não tinha no estoque. O dinheiro foi estornado para o meu cartão. Transtorno leve.",1,negativo
32059,o produto chegou antes do prazo.porem chegou danificado(suas rodas de plásticos vieram quebradas).,1,negativo
32065,o produto chegou em perfeito estado e antes da data estabelecida,5,positivo
32066,Comprei a escova mas nao veio a mesma q comprei pelo site.,2,negativo
32069,Pois ate o momento nao fecebi a cacarola os demais itens que adquiri ja chegaram e ela nao. Alguem pode me dizer o motivo. Preciso muito dela....,5,positivo
32070,"Realizei a compra de duas bonecas e recebi somente uma, só que a nota fiscal veio com o valor da duas e ainda não recebi a outra.",1,negativo
32071,Minha opinião é a mais triste de todas falta compromisso com cliente stark que também não fez nada. Perdeu minha familia como cliente geral.,1,negativo
32075,Recomendo,4,positivo
32078,Serviço fantástico sem burocracia e entrega garantida,5,positivo
32082,Americana é uma loja que é muito responsável com suas vendas e eu recomendo a todos,5,positivo
32085,"Compei uma pingente e nunca chegou, comprei dia 06 de janeiro hj é 08 de fervereiro e nada.",1,negativo
32086,"Só foi entregue o cartucho da tinta preta. Falta o outro cartucho da tinta colorida. Entretanto, a cobrança foi dos 2 cartuchos e ainda foi duplicado o valor do frete.",1,negativo
32087,Comprei 2 cadeiras e recebi somente 1 ,1,negativo
32088,Muito bom,4,positivo
32090,Compra fácil e entrega no prazo ,4,positivo
32096,Entregue em 5 dias até antes do prazo,5,positivo
32102,"Produto bonito e confortável, porém não durma de unhas grandes nem sem esfoliar os pés, porque é frágil e puxa fio com facilidade. ",4,positivo
32106,Produto entregue no prazo e em perfeitas condiçôes.,4,positivo
32109,Bom,4,positivo
32113,Não recebi o produto ,1,negativo
32118,Produto de muito boa qualidade. Entrega rápida. Recomendo a lannister.com,5,positivo
32124,Péssima loja nao entregou o produtos e nem deu satisfação ,1,negativo
32128,Não recebi o produto,1,negativo
32129,"entrega rápida, produto como descrito na hora da compra, recomendo sem problemas
",5,positivo
32130,"Infelizmente tive um problema com o aparelho,e o mesmo terá que ser feito troca.",1,negativo
32135,A carabina e muito boa. A maça de mira da carabina e q e ruim. A luneta também e pecima.,4,positivo
32138,A caixa veio totalmente deformada/estragada. Alguns produtos desencaixados. Melhorar a embalagem dos produtos. Achei o produto/material fraco,2,negativo
32141,ótima poção de compras e atendimento rápido.,5,positivo
32145,Foi entregue ante do prazo,5,positivo
32147,no site a pulseira de cruz estava como 21 cm mas ela mede 22 cm ficou folgada e não tem como ajustar,4,positivo
32148,Produto com visual usado....tela frontal do bag....bem gasto e riscado....com difícil visualização do aparelho celular.,1,negativo
32151,O produto chegou corretamente. Pude acompanhar a entrega pelo rastreio do pedido. Deu tudo certo.,4,positivo
32154,Produto correto e dentro do prazo.,5,positivo
32158,"Essa parceria não foi boa , não emitiu nem nota fiscal e não mandou o produto , e pelo visto não vai mandar , péssimos parceiros ",1,negativo
32163,"mas pensei que ia vir o produto inteiro, não uma pequena amostra num pontinho!
você tinham que colocar a foto do potinho e não da embalagem original...
ninguém lê que são 4gramas apenas só olha a fo",5,positivo
32164,como sempre amaricanas é impecavel no atendimento na venda e na entrega,5,positivo
32165,Ainda não usei O produto mais parece ter excelente qualidade. Chegou muito antes do esperado. Recomendo pela agilidade.,5,positivo
32168,"Recomendo, excelente!",5,positivo
32173,Produto muito bom e a entrega foi super rápida.,5,positivo
32174,Superou minhas expectativas no prazo de entrega. Super recomendo lojas lannister toppp,5,positivo
32176,Muito boa recomendo,5,positivo
32179,produto razoável,4,positivo
32180,Meu produto foi entregue até antes do prazo vocês estão de parabéns!!,5,positivo
32184,muito bom,4,positivo
32190,"O objeto veio em perfeita condições, superou as expectativas, excelente produto 👍🏻, obrigada!",5,positivo
32191,MUITO BOM E ENTREGA DENTRO DO PRAZO.,4,positivo
32192,"Chegou até antes do prazo sempre compro, e minhas encomendas vem sempre direitinho ",5,positivo
32197,O PRODUTO CHEGOU ANTES DO PRAZO.,5,positivo
32199,"recebi dentro do prazo de entrega dado pela loja, no entanto ao conferir o produto constatei que o relógio é novo mas veio sem funcionar...deve ser a bateria.",4,positivo
32203,"precisa melhorar tempo de entrega, produto levou quase três semanas pra chegar.
E já tinha pago, pelo produto.",2,negativo
32206,A entrega foi mais rápida do que eu esperava. Super aprovada!,4,positivo
32214,O produto chegou dentro do prazo e bem embalado. Gostei e recomendo.,5,positivo
32215,"Tive um problema com a mercadoria, eu pedi as cortinas na cor caqui e me entregaram na cor cinza... a cor cinza nao me atende preciso que por favor façam a troca pela cor que pedi que é a caqui",4,positivo
32216,Meu marido adorou! Atende todas as suas necessidades!,5,positivo
32217,Só foi entregue um produto o outro não recebi,1,negativo
32218,"O prazo de entrega é um pouco extenso, porém foi entregue dentro do prazo acordado",4,positivo
32219,"Chegou em bom estado, encaixou muito bem no celular, capinha muito bonita e fina, recomendo!!!",5,positivo
32223,que a referida loja e muito pontual.,4,positivo
32226,ADORO COMPRAR NA lannister,5,positivo
32230,Paguei por 2 produtos e só recebi 1. A película não veio!!! ,1,negativo
32234,"Perfeito em tudo, na entrega e na qualidade do produto! Super recomendo.",5,positivo
32237,"Produto recebido no prazo, recomendo",4,positivo
32238,produto chegou rápido de ótima qualidade,5,positivo
32244,Superou minhas expectativas. Feliz pelo produto adquirido,5,positivo
32245,Satisfeita ,5,positivo
32246,Agilidade na entrega e praticidade. ,5,positivo
32249,Chegou muito rápido e o produto exatamente como anunciado,5,positivo
32254,"super recomendo
",5,positivo
32256,"A tesoura de corte é diferente do anunciado cabo de plástico ao invés de metal, baixa qualidade do produto, não recomendo....",2,negativo
32258,"Ó óculos está quebrado , não está segurando o celular !😞",1,negativo
32262,Estou satisfeito com o produto bem como o atendimento e a entrega tudo certo.,5,positivo
32271,"Sempre fui um comprado nato da baratheon,nessa última compra deixou a desejar,mercadoria que seria presente de casamento,não chegou ainda,estou pasmado e muito aborrecido. desde o dia 12/06.",1,negativo
32272,Mercadoria entregue dentro do prazo. Poderá ser mais rápido e frete mais barato. ,5,positivo
32273,Produto entregue antes do prazo e produto de ótima qualidade. Recomendo!,5,positivo
32275,meu filho amou otimo produto,5,positivo
32278,"Acho um absurdo comprar um produto que diz estar disponível e não recebê-lo !!! Verifiquem por favor, pois não é a primeira vez que acontece. Exijo uma resposta convincente!!! Aguardo contato urgente!",1,negativo
32279,"JÁ DESCREVI VARIAS VEZES, ICLUSIVE O PEDIDO E DE 05-01-2018 E JÁ FORAM DESCONTADAS DUAS PARCEJAS DO TOTAL DE QUATRO,. AGORA DEVOLVAM E CANCELEM O PEDIDO DEFINITIVAMENTE.",1,negativo
32281,tava uma cor no site e o produto veio outra . Mas ele veio em perfeito estado,5,positivo
32285,Não recebi ainda,1,negativo
32286,o que tenho a reclamar é que o produto não é o original infelizmente ,1,negativo
32289,"Não recebi o produto, aguardo uma solução.",1,negativo
32291,muito bom e rápido,5,positivo
32295,"Adorei a cortina, ficou linda na minha sala, e o tecido é lindo deixa a sala muito sofisticada. super recomendo",5,positivo
32296,FIZ A COMPRA DE DOIS PRODUTO E SÓ RECEBI UM PRODUTO E FORAM COBRADOS DOIS PRODUTOS.,2,negativo
32300,"entregaram no prazo , e o produto de boa qualidade.",5,positivo
32304,Chegou antes do prazo muito bom..,5,positivo
32306,Obrigada,5,positivo
32308,"produto nao funciona,, nao consegui entrar conta por telefone da empresa que me vendeu, fala telefone nao existente. estragou minha impressora o produto q foi me vendido.",1,negativo
32309,"Não estalei ainda aparentemente é muito bonito, só vou poder dizer da qualidade quando for instalar,, por enquanto satisfeita .",5,positivo
32313,otimo,5,positivo
32320,Conforme descrito no site,5,positivo
32323,Meu pedido esta preso nos correios....,1,negativo
32324,Super fácil de colar e fica super lindo!,5,positivo
32329,"Eu comprei e nao funcionou
",1,negativo
32334,"Ainda não instalei, mas eu me surpreendi com o material! É lindo demais e parece bem resistente! ",5,positivo
32335,Não gostei muito da bolsa achei o material bem.fraco mal usei e já está querendo estourar o zíper.esperava uma coisa melhor.,1,negativo
32337,"Infelizmente a caixa de papelão onde estava o produto veio com pouca proteção o que era visível pelo estado ruim da caixa, nem ao menosum plástico bolha para proteger o produto que é eletrônico.
Att",4,positivo
32339,Veio faltando o bebê conforto ,2,negativo
32342,Muito bom e bem antes do prazo.,4,positivo
32345,Gostei ,5,positivo
32349,"Conforme vários comentários anteriores, o produto foi impresso em uma espécie de madeira de 2 mm, mas a imagem é viva e muito linda, vale a pena ter uma dessa na minha opinião, estou satisfeito.",5,positivo
32352,de tres produtos somente um foi entregue quero saber por que falto dois e esta dando e status entregue,1,negativo
32358,"Produto de acordo com o anúncio, recomendo.",5,positivo
32361,Não recebi o produto,1,negativo
32362,"Amei meu produto, chegou perfeito, bem antes do prazo.",5,positivo
32364,produto entregue na data combinada.,4,positivo
32366,Depois de 20 dias da compra nenhum sinal da encomenda. Já reclamei e não obtive resposta,1,negativo
32367,"Produto de boa qualidade e a loja entrega até antes do prazo.
",5,positivo
32368,Parabéns ,5,positivo
32373,"Exatamente como no anúncio .
Entrega rápida.
Muito satisfeito",5,positivo
32374,"Recebi tudo correto, conforme o anúncio parabéns !!!!!",5,positivo
32379,Ótimo produto ,5,positivo
32380,"Comprei um ultrabook e foi enviado um celular, mandei de volta, mais o ultrabook até o momento não recebi, como fica isso.",1,negativo
32381,"Tudo ok, 100 %.",5,positivo
32382,Recebi só as mamadeiras mandei email questionando a entrega da capa do colchão mas não recebi retorno ,1,negativo
32384,"Panos lindos e de boa qualidade, super recomendado.",5,positivo
32385,Entrega rapida e produto show ,5,positivo
32387,Estou muito satisfeito com os produtos. Parabéns aos lojistas.,5,positivo
32388,"Fiz a compra de duas peças mas chegou só uma, sendo que consta na nota duas peças entregues.",5,positivo
32389,O tapete é ótimo! Grosso e macio. Melhor do que eu imaginei.,5,positivo
32390,Tudo correu dentro do prometido.,5,positivo
32393,O produto superou minhas expectativas e o prazo de entrega adiantou cerca de 10 dias! ;-),5,positivo
32395,RECOMENDO,5,positivo
32396,Meu produto não chegou. Qual a solução?,1,negativo
32397,Ótimo ,5,positivo
32402,Ótima e segura compra.,5,positivo
32404,Produto ótimo.,5,positivo
32405,"Na imagem é Cola Premium Black de 10ml e foi entregue Cola Elite Glue Black de 05ml. Compro muito no site das lannister e essa foi a 1a vez que me senti lesada, enganada. ",2,negativo
32406,"Comprei uma capa pet para carro e uma guia dupla, recebi apenas a guia dupla!! Estou idignada e chateada!! Que falta de atenção é essa... ja fiz protocolos de reclamação e ninguem me retorna nada.",1,negativo
32407,"Relógio bonito, mas não é o mesmo da foto. o da foto tinha calendário o que me foi entregue não tinha e veio com o ponteiro quebrado!",1,negativo
32412,comprei o modelo da foto (modelo EP 760/1) e recebi o modelo anterior (modelo HV 700),1,negativo
32413,O produto não é entregado no praZo ,1,negativo
32414,"É uma vergonha uma loja grande e seria como a lojas lannister, trabalhar com lojas irresponsáveis e passar acredibilidade que não existe para lojas com a targaryen, comprei um cosmetico que nunca chegou.",1,negativo
32422,"Produto entregue no prazo e bom estado, conforme descrição",5,positivo
32424,"produto excelente de otima qualidade,estou muito satisfeito a entrega foi feita em tempo razoavel.",5,positivo
32425,"Comprei cartucho colorido e recebi preto, o site não funciona para solicitar troca, apenas para cancelamento, então cancelei. ",2,negativo
32430,Data de entrega era dia 27/03 e ate hoje não recebi nada.,1,negativo
32433,"Otimo, não tenho o que mudar",5,positivo
32434,Bem embalado,4,positivo
32435,Produto de excelente qualidade.,5,positivo
32438,Gostei muito do produto!,4,positivo
32440,Recebi no prazo ,5,positivo
32441,Além do produto ser de excelente qualidade a loja teve toda preocupação em me atender bem e me informar sobre a cor do produto! Isso é um grande diferencial no mercado hj em dia! Estão de parabéns!,5,positivo
32442,Bom,4,positivo
32445,Entrega pontual,5,positivo
32446,Produto não chegou no prazo ,2,negativo
32450,"Muito bom ao serviço, a qualidade do produto é ótima.",5,positivo
32455,Ainda estou a espera do meu produto,1,negativo
32456,Produto perfeito e de ótima qualidade!!!,5,positivo
32458,"Otima Loja
",5,positivo
32461,Compramos 2 tonners e veio apenas 1 na caixa tiramos fotos e fizemos video precisamos urgente do reembolso ou do produto ,1,negativo
32462,Um pouco inferior ao que imaginava.,2,negativo
32463,"Recebi muito bem embalado, o produto é mais bonito do que parecia na foto e o prazo foi 30 dias menor do que o estimado no ato da compra! ADOREI!",5,positivo
32465,Produto de boa qualidade e entrega antes do prazo excelente!!!,5,positivo
32467,Gostei ,5,positivo
32471,Gostei,2,negativo
32472,"Foi entregue apenas parte do pedido, a saia para cama box não veio.",4,positivo
32474,"Muito bom

",5,positivo
32476,"Gostei muito do produto. Chegou antes do prazo previsto e em ótimo estado. Eu recomendo essa loja,amei.",4,positivo
32477,Otimo!,4,positivo
32478,"Muito bom produto .excelente qualidade recomendo a tpdo ??
",5,positivo
32479,Pode comprar que veio td certinho,5,positivo
32480,"Adorei fazer a compra, tudo melhor que o combinado
",5,positivo
32486,comprei um relogio da cor branca e mandaram um vermelho...,4,positivo
32487,Péssima compra!,1,negativo
32490,Otimo,5,positivo
32492,"Recebi o produto errado, fiz o estorno e depois de um mês ainda não recei meu dinheiro de volta.",1,negativo
32499,"O produto chegou antes do esperado e em perfeitas condições, embrulhado para presente e com todos os cuidados necessário. Recomendo ?",5,positivo
32500,Entrega foi antes do prazo produto é como imaginei lindo recomendo ,5,positivo
32505,O produto foi entregue antes do prazo é muito bem embalado. Já instalei na impressora e a impressão está perfeita.,5,positivo
32508,Luva entregue de acordo com o pedido e entregue no prazo....,5,positivo
32509,muito bom,5,positivo
32510,Gostei da saia de cama box ... recomendado,2,negativo
32511,Recebi a encomenda dentro do prazo. Bem embalada. Bem como esperava. Recomendo compra neste site.,5,positivo
32513,"APENAS GOSTARIA QUE O PRODUTO CHEGASSE UM POUCO MAIS RÁPIDO DO QUE CHEGOU,MAS NO GERAL , NÃO TENHO O QUE RECLAMAR,POIS O PRODUTO CHEGOU AO DESTINO E É DE QUALIDADE.",4,positivo
32515,Já passou o prazo de entrega era dia 12/02,1,negativo
32517,O produto realmente é como mostrado no site. A pessoa que ganhou gostou muito,5,positivo
32523,entregue antes do prazo produto como descrito no anuncio,5,positivo
32524,Gostei entrgaram certinho parabens,5,positivo
32529,"Parabéns.....o prazo da entrega foi muito rápido....O produto chegou certinho..
.....Foi uma ótima compra ....
Recomendo 
",5,positivo
32531,muito bom,4,positivo
32536,"Gostei do atendimento da loja, o produto veio montado e foi rápido na postagem, o que estraga é o serviço do correio, que nunca entrega na data",4,positivo
32538,Bom,5,positivo
32540,Comprei dois kits de costura recebi um e a nota fiscal dizendo que tinha dois! Como pode?,1,negativo
32541,Comprometido,5,positivo
32545,"Muito bom, apenas uma não está funcionando.",5,positivo
32547,o pedido nao foi entregue,1,negativo
32548,rapido e correto ,5,positivo
32549,Melhor site de compras.,5,positivo
32558,"Além da entrega ser demorado, o frete é caro",1,negativo
32560,"Produto bom. Excelente preço promocional, mas veio com riscados na carcaça e no visor, que não atrapalha a visualização das funções e beleza do relógio. Mas dá a impressão que já é usado ",1,negativo
32561,continuem assim,5,positivo
32562,Ótimo produto e veio antes do prazo estimado,5,positivo
32573,O produto foi entregue antes do prazo estipulado. ,4,positivo
32574,Ótimo produto,5,positivo
32583,"Recomendo a loja, entregou o pedido no tempo determinado e sem avarias.",4,positivo
32584,"Gostei do produto 
Boa aparência",4,positivo
32585,Entrega rápida e produto em perfeito estado ,5,positivo
32587,serviço de ótima qualidade,5,positivo
32588,"Só tive problemas com essa compra. Comprei uma vez e tive que cancelar, pois o pedido não chegou correto para a entrega.
Quando fiz o novo pedido, o produto não chegou na quantidade correta.",1,negativo
32592,Como muito custo consegui retirar o produto na agência dos correios.Infelizmente os correios não fazem as entregas em alguns lugares.A loja não tem culpa ,1,negativo
32596,A mercaduria nao fue recibida e nao te ligan para avisar da entrega. No app deles nao colocan a previsão de entrega. O que confunde muito.,1,negativo
32597,"Eu fiz o cancelamento desse pedido no dia 27/02, até hoje não recebi uma resposta sobre.
Não recebi o produto e não foi estornado o meu cartão 
Estou muito insatisfeita.",1,negativo
32598,"Não recebi tudo que comprei. Já enviei reclamação para o stark, mas ainda não recebi nenhum retorno ",1,negativo
32601,Boa noite. Preciso de uma posição da baratheon sobre o Meu pedido. Ou o estorno no meu cartão ja que o produto não foi entregue.,1,negativo
32602,"Um dos produtos veio com o lacre violado, vazado, as embalagens muito toda suja. 

Não recomendo...",1,negativo
32605,Recomendo,4,positivo
32607,não quero mais ese produto. solicito cancelamento,1,negativo
32608,"Acredito que poderia ser melhor embalado, produto chegou com riscos, devido a falta de plastico bolha envolvendo a cuba. Optei por não devolver. Transporte e prazo ok.",4,positivo
32609,Gostaria que me envia-se a mercadoria ou devolvesse meu dinheiro ia fazer mais compras mais fiquei com medo de não entregar,1,negativo
32613,"Eu sempre recomendo aos meus amigos para que comprem no baratheon,devido à pontualidade na entrega dos produtos adquiridos e perfeitos.",5,positivo
32616,Bom entregou no domingo,4,positivo
32618,"Mercadoria não foi entregue até o momento sendo que o prazo previsto era 25/10. 
Acompanhamento do pedido muito ruim.
Após a compra aprovada está aparecendo produto indisponível. ",2,negativo
32619,o produto veio com defeito. ja mandei email reclamando,5,positivo
32623,Recomendo. Não tive nenhum problema com a loja ou o produto. ,5,positivo
32626,Produto original e de qualidade.,5,positivo
32631,Não recebi o produto.,1,negativo
32634,"Alto Falante 10 Polegadas Medio Grave - 8ohms 400w Rms - QVS - 10MGS400-8
SÓ RECEBE 2 UNIDADES FALTARAM DUAS",1,negativo
32636,Só não Gostei do sistema de Rastreamento antes você via a todo instante e agora só atualiza depois das 18:30 ,4,positivo
32639,Recebi o produto bem antes do prazo informado,4,positivo
32641,muito bom,5,positivo
32644,A entrega ainda não foi efetuada. ,1,negativo
32648,"Comprei DUAS calças plásticas e só veio UMA calça plástica, tentei entrar em contato ,mandei foto da EMBALAGEM que veio com produto a MENOS e NENHUMA RESPOSTA.",1,negativo
32652,Recebi outro produto e não o que eu comprei!,1,negativo
32665,"Paguei mais caro e esperei mais tempo pra receber escovas Dourada e Branca...

No fim das contas recebi 2 escovas ROSA.",1,negativo
32669,"Bom produto, chegou no tempo certo!",5,positivo
32670,muito bom,4,positivo
32675,Ótimo perfeito gostei do produto ótimo qualidade ,5,positivo
32680,Entrega rápida ,5,positivo
32682,"Recebi os produtos no prazo, mas não foram os produtos que comprei (PRODUTOS ORIGINAIS DA HP), mas o que eu recebi foram produtos falsificados. Explico: o cartucho preto parou de imprimir mesmo cheio.",1,negativo
32683,A entrega foi rápida e o produto é muito bom!,5,positivo
32685,Ótimo,5,positivo
32687,"Gostei muito, pois chegou ko prazo dado e veim tudo em perfeito estado. ",5,positivo
32689,Top Show,5,positivo
32690,Foi cancelado o pedido no mesmo dia da compra recebi um email confirmado o cancelamento mais o produto foi entregue mesmo assim. Não aceitei o produto mais ainda está descontando em minha fatura,1,negativo
32691,A lannister está de parabéns. O produto chegou muito antes do prazo estipulado e o produto em perfeitas condições. Obrigada.,5,positivo
32694,Sim muito bom,5,positivo
32698,Produto entregue antes do prazo. ,5,positivo
32705,"Ótimo produto, qualidade ótima também adorei",5,positivo
32706,"Espero solução p o problema
Porque desde então estou ligando e não tenho êxito , não sei mais o que fazer.
Atenciosamente
Juliana Moreira",1,negativo
32708,"Produto melhor do que eu esperava. Chegou antes do prazo, cabe em qualquer lugar, não toma espaço nenhum. Amamos",5,positivo
32710,o produto veio com a tabua quebrada,4,positivo
32712,"Ainda está no prazo, produto está incompleto",1,negativo
32713,Otimo nao tive problemas nota 9,4,positivo
32714,As almofadas são de excelente qualidade e foi entregue antes do prazo!,4,positivo
32716,"O produto foi entregue antes do prazo, recomendo o vendedor, muito bom mesmo.",5,positivo
